#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
actin cytoskeleton,Gene Ontology,GO:0015629,2,384,0.479893971,0.623456079
cellular macromolecule localization,Gene Ontology,GO:0070727,5,1087,0.480438091,0.623852446
regulation of cellular catabolic process,Gene Ontology,GO:0031329,3,618,0.48090936,0.624153868
multi-organism process,Gene Ontology,GO:0051704,9,2032,0.481506218,0.624617907
positive regulation of I-kappaB kinase/NF-kappaB signaling,Gene Ontology,GO:0043123,1,156,0.481971165,0.624910452
ribonucleoside catabolic process,Gene Ontology,GO:0042454,3,620,0.483012416,0.625638911
receptor-mediated endocytosis,Gene Ontology,GO:0006898,1,157,0.484136923,0.62678441
appendage development,Gene Ontology,GO:0048736,1,158,0.486293629,0.628018987
limb development,Gene Ontology,GO:0060173,1,158,0.486293629,0.628018987
negative regulation of apoptotic signaling pathway,Gene Ontology,GO:2001234,1,158,0.486293629,0.628018987
response to nutrient,Gene Ontology,GO:0007584,1,159,0.488441319,0.630168978
Ras GTPase binding,Gene Ontology,GO:0017016,1,159,0.488441319,0.630168978
transcription regulatory region DNA binding,Gene Ontology,GO:0044212,2,391,0.489261783,0.630649343
purine ribonucleotide catabolic process,Gene Ontology,GO:0009154,3,626,0.489296904,0.630649343
ribonucleotide catabolic process,Gene Ontology,GO:0009261,3,627,0.490340673,0.631371069
response to carbohydrate,Gene Ontology,GO:0009743,1,161,0.492709804,0.633817171
response to stress,Gene Ontology,GO:0006950,14,3242,0.494049329,0.63520628
regulation of muscle system process,Gene Ontology,GO:0090257,1,162,0.494830674,0.635897616
nucleoside catabolic process,Gene Ontology,GO:0009164,3,632,0.495543643,0.636500447
cellular response to stress,Gene Ontology,GO:0033554,6,1345,0.496482545,0.637043413
positive regulation of GTPase activity,Gene Ontology,GO:0043547,1,163,0.496942678,0.637043413
central nervous system neuron differentiation,Gene Ontology,GO:0021953,1,163,0.496942678,0.637043413
regulation of ossification,Gene Ontology,GO:0030278,1,163,0.496942678,0.637043413
regulatory region DNA binding,Gene Ontology,GO:0000975,2,398,0.498522606,0.638441611
regulatory region nucleic acid binding,Gene Ontology,GO:0001067,2,398,0.498522606,0.638441611
membrane lipid metabolic process,Gene Ontology,GO:0006643,1,164,0.499045853,0.638485135
protein C-terminus binding,Gene Ontology,GO:0008022,1,164,0.499045853,0.638485135
regulation of myeloid cell differentiation,Gene Ontology,GO:0045637,1,165,0.501140237,0.64022321
glycosyl compound catabolic process,Gene Ontology,GO:1901658,3,639,0.502782602,0.642007138
secretion,Gene Ontology,GO:0046903,4,878,0.503486941,0.642592135
response to bacterium,Gene Ontology,GO:0009617,2,402,0.50376583,0.64263383
macromolecule modification,Gene Ontology,GO:0043412,12,2787,0.504040093,0.642669586
positive regulation of catabolic process,Gene Ontology,GO:0009896,1,167,0.505302776,0.643964964
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Gene Ontology,GO:0090092,1,168,0.507371005,0.645969914
Fc-epsilon receptor signaling pathway,Gene Ontology,GO:0038095,1,168,0.507371005,0.645969914
JNK cascade,Gene Ontology,GO:0007254,1,169,0.509430588,0.648275883
posttranscriptional regulation of gene expression,Gene Ontology,GO:0010608,2,407,0.510269552,0.649027061
purine ribonucleoside triphosphate metabolic process,Gene Ontology,GO:0009205,3,650,0.514048606,0.653197108
small GTPase binding,Gene Ontology,GO:0031267,1,173,0.517583186,0.657368426
basolateral plasma membrane,Gene Ontology,GO:0016323,1,174,0.51960008,0.659288386
protein acylation,Gene Ontology,GO:0043543,1,174,0.51960008,0.659288386
ribonucleoside triphosphate metabolic process,Gene Ontology,GO:0009199,3,656,0.520135785,0.659327052
purine nucleoside triphosphate metabolic process,Gene Ontology,GO:0009144,3,656,0.520135785,0.659327052
innate immune response-activating signal transduction,Gene Ontology,GO:0002758,1,175,0.521608543,0.66058595
cell cycle process,Gene Ontology,GO:0022402,5,1140,0.521635112,0.66058595
extracellular region,Gene Ontology,GO:0005576,15,3545,0.522513121,0.661056348
defense response to bacterium,Gene Ontology,GO:0042742,1,176,0.523608611,0.661800714
meiotic cell cycle,Gene Ontology,GO:0051321,1,176,0.523608611,0.661800714
hormone metabolic process,Gene Ontology,GO:0042445,1,177,0.525600318,0.663675293
positive regulation of immune system process,Gene Ontology,GO:0002684,3,664,0.528186826,0.666296576
cell-cell signaling,Gene Ontology,GO:0007267,5,1152,0.530768439,0.669214605
negative regulation of mitotic cell cycle phase transition,Gene Ontology,GO:1901991,1,180,0.531525623,0.669214605
transforming growth factor beta receptor signaling pathway,Gene Ontology,GO:0007179,1,180,0.531525623,0.669214605
second-messenger-mediated signaling,Gene Ontology,GO:0019932,1,180,0.531525623,0.669214605
carbohydrate biosynthetic process,Gene Ontology,GO:0016051,1,181,0.533484235,0.671033183
regulation of molecular function,Gene Ontology,GO:0065009,9,2125,0.534216836,0.671630993
purine nucleotide catabolic process,Gene Ontology,GO:0006195,3,671,0.53516918,0.672504361
activation of innate immune response,Gene Ontology,GO:0002218,1,182,0.53543466,0.672514178
single-organism intracellular transport,Gene Ontology,GO:1902582,5,1160,0.536813525,0.67359774
regulation of proteolysis,Gene Ontology,GO:0030162,1,183,0.537376931,0.673980678
nucleoside triphosphate metabolic process,Gene Ontology,GO:0009141,3,675,0.539132563,0.674785201
ATP metabolic process,Gene Ontology,GO:0046034,1,184,0.539311084,0.674785201
negative regulation of cell cycle phase transition,Gene Ontology,GO:1901988,1,184,0.539311084,0.674785201
regulation of protein catabolic process,Gene Ontology,GO:0042176,1,184,0.539311084,0.674785201
fibroblast growth factor receptor signaling pathway,Gene Ontology,GO:0008543,1,184,0.539311084,0.674785201
purine-containing compound catabolic process,Gene Ontology,GO:0072523,3,676,0.540120365,0.675473959
skeletal system development,Gene Ontology,GO:0001501,2,431,0.540695261,0.675869076
magnesium ion binding,Gene Ontology,GO:0000287,1,185,0.541237151,0.675899026
GTPase binding,Gene Ontology,GO:0051020,1,185,0.541237151,0.675899026
viral process,Gene Ontology,GO:0016032,3,681,0.545040969,0.679703813
positive regulation of cell development,Gene Ontology,GO:0010720,1,187,0.545065165,0.679703813
regulation of hydrolase activity,Gene Ontology,GO:0051336,4,930,0.548075959,0.6828279
protein serine/threonine kinase activity,Gene Ontology,GO:0004674,2,437,0.548093659,0.6828279
defense response,Gene Ontology,GO:0006952,6,1420,0.548461653,0.682960359
transmembrane signaling receptor activity,Gene Ontology,GO:0004888,5,1177,0.549538195,0.683648565
monocarboxylic acid biosynthetic process,Gene Ontology,GO:0072330,1,190,0.550747387,0.684826432
nucleotide catabolic process,Gene Ontology,GO:0009166,3,688,0.551877795,0.685905259
single organism reproductive process,Gene Ontology,GO:0044702,4,935,0.552252497,0.686044273
multi-organism cellular process,Gene Ontology,GO:0044764,3,692,0.555757004,0.689741217
"transferase activity, transferring acyl groups other than amino-acyl groups",Gene Ontology,GO:0016747,1,193,0.556358648,0.689837647
regulation of catabolic process,Gene Ontology,GO:0009894,3,693,0.556723651,0.689837647
organonitrogen compound catabolic process,Gene Ontology,GO:1901565,4,941,0.557237126,0.689837647
nucleoside phosphate catabolic process,Gene Ontology,GO:1901292,3,694,0.557689031,0.689837647
canonical Wnt signaling pathway,Gene Ontology,GO:0060070,1,194,0.558213452,0.689837647
regulation of binding,Gene Ontology,GO:0051098,1,194,0.558213452,0.689837647
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Gene Ontology,GO:0002460,1,195,0.560060503,0.69179267
response to organonitrogen compound,Gene Ontology,GO:0010243,3,697,0.560577548,0.692103784
transcription corepressor activity,Gene Ontology,GO:0003714,1,196,0.561899832,0.693080606
protein secretion,Gene Ontology,GO:0009306,1,196,0.561899832,0.693080606
transcription initiation from RNA polymerase II promoter,Gene Ontology,GO:0006367,1,198,0.565555457,0.69660205
transcription regulatory region sequence-specific DNA binding,Gene Ontology,GO:0000976,1,198,0.565555457,0.69660205
cellular modified amino acid metabolic process,Gene Ontology,GO:0006575,1,198,0.565555457,0.69660205
protein folding,Gene Ontology,GO:0006457,1,199,0.567371817,0.697851292
developmental maturation,Gene Ontology,GO:0021700,1,200,0.569180583,0.699575382
ATP binding,Gene Ontology,GO:0005524,6,1453,0.570553374,0.700640559
establishment of organelle localization,Gene Ontology,GO:0051656,1,201,0.570981789,0.700640559
regulation of synaptic transmission,Gene Ontology,GO:0050804,1,201,0.570981789,0.700640559
organic hydroxy compound metabolic process,Gene Ontology,GO:1901615,2,457,0.572144656,0.700920552
immune response-regulating signaling pathway,Gene Ontology,GO:0002764,2,457,0.572144656,0.700920552
GTP catabolic process,Gene Ontology,GO:0006184,2,457,0.572144656,0.700920552
skeletal system morphogenesis,Gene Ontology,GO:0048705,1,202,0.572775465,0.700920552
anterior/posterior pattern specification,Gene Ontology,GO:0009952,1,202,0.572775465,0.700920552
cytoplasmic membrane-bounded vesicle,Gene Ontology,GO:0016023,4,960,0.572821279,0.700920552
monocarboxylic acid metabolic process,Gene Ontology,GO:0032787,2,458,0.573322422,0.701205024
guanosine-containing compound catabolic process,Gene Ontology,GO:1901069,2,459,0.574497819,0.702062681
cellular response to fibroblast growth factor stimulus,Gene Ontology,GO:0044344,1,203,0.574561643,0.702062681
endocytic vesicle,Gene Ontology,GO:0030139,1,204,0.576340354,0.703906562
rhythmic process,Gene Ontology,GO:0048511,1,205,0.578111629,0.705739641
response to fibroblast growth factor,Gene Ontology,GO:0071774,1,206,0.579875501,0.707231335
extracellular region part,Gene Ontology,GO:0044421,11,2706,0.58255186,0.709832098
regulation of catalytic activity,Gene Ontology,GO:0050790,7,1720,0.582916322,0.70994475
actin cytoskeleton organization,Gene Ontology,GO:0030036,2,467,0.583815662,0.710708431
purine ribonucleoside monophosphate metabolic process,Gene Ontology,GO:0009167,1,209,0.585122996,0.711637665
purine ribonucleoside metabolic process,Gene Ontology,GO:0046128,3,723,0.585124302,0.711637665
positive regulation of innate immune response,Gene Ontology,GO:0045089,1,210,0.586857558,0.71241778
cell cortex,Gene Ontology,GO:0005938,1,210,0.586857558,0.71241778
purine nucleoside monophosphate metabolic process,Gene Ontology,GO:0009126,1,210,0.586857558,0.71241778
negative regulation of immune system process,Gene Ontology,GO:0002683,1,210,0.586857558,0.71241778
GTP metabolic process,Gene Ontology,GO:0046039,2,470,0.587270702,0.712587881
purine nucleoside metabolic process,Gene Ontology,GO:0042278,3,726,0.587899525,0.713019405
gonad development,Gene Ontology,GO:0008406,1,212,0.590304959,0.714940113
membrane raft,Gene Ontology,GO:0045121,1,212,0.590304959,0.714940113
adenyl ribonucleotide binding,Gene Ontology,GO:0032559,6,1484,0.59081122,0.715221375
phosphatidylinositol-mediated signaling,Gene Ontology,GO:0048015,1,213,0.592017859,0.715686249
G-protein coupled receptor binding,Gene Ontology,GO:0001664,1,213,0.592017859,0.715686249
inositol lipid-mediated signaling,Gene Ontology,GO:0048017,1,213,0.592017859,0.715686249
external side of plasma membrane,Gene Ontology,GO:0009897,1,216,0.597113714,0.721512405
guanosine-containing compound metabolic process,Gene Ontology,GO:1901068,2,479,0.597507581,0.721654228
regulation of actin cytoskeleton organization,Gene Ontology,GO:0032956,1,217,0.598798151,0.722643266
organophosphate catabolic process,Gene Ontology,GO:0046434,3,738,0.598880224,0.722643266
clathrin-coated vesicle,Gene Ontology,GO:0030136,1,218,0.600475547,0.723899651
adenyl nucleotide binding,Gene Ontology,GO:0030554,6,1501,0.601704429,0.725045503
structure-specific DNA binding,Gene Ontology,GO:0043566,1,219,0.60214593,0.725242676
"symbiosis, encompassing mutualism through parasitism",Gene Ontology,GO:0044403,3,746,0.606092985,0.729323509
interspecies interaction between organisms,Gene Ontology,GO:0044419,3,746,0.606092985,0.729323509
Fc receptor signaling pathway,Gene Ontology,GO:0038093,1,222,0.607115301,0.72979468
protein localization,Gene Ontology,GO:0008104,7,1761,0.607279149,0.72979468
transcription cofactor activity,Gene Ontology,GO:0003712,2,488,0.607552096,0.72979468
regulation of immune response,Gene Ontology,GO:0050776,3,748,0.607882619,0.72979468
ribonucleoside metabolic process,Gene Ontology,GO:0009119,3,748,0.607882619,0.72979468
ribonucleoside monophosphate metabolic process,Gene Ontology,GO:0009161,1,223,0.608757928,0.729838398
cellular response to abiotic stimulus,Gene Ontology,GO:0071214,1,223,0.608757928,0.729838398
carbohydrate binding,Gene Ontology,GO:0030246,1,223,0.608757928,0.729838398
negative regulation of gene expression,Gene Ontology,GO:0010629,4,1011,0.613069582,0.733996151
cell cycle arrest,Gene Ontology,GO:0007050,1,226,0.613644724,0.734269242
regulation of secretion,Gene Ontology,GO:0051046,2,494,0.614141669,0.734269242
positive regulation of hydrolase activity,Gene Ontology,GO:0051345,2,494,0.614141669,0.734269242
regulation of protein complex assembly,Gene Ontology,GO:0043254,1,227,0.615260056,0.734933065
epidermal growth factor receptor signaling pathway,Gene Ontology,GO:0007173,1,227,0.615260056,0.734933065
response to nitrogen compound,Gene Ontology,GO:1901698,3,757,0.615868511,0.735323337
regulation of purine nucleotide metabolic process,Gene Ontology,GO:1900542,2,496,0.616319235,0.735525013
platelet activation,Gene Ontology,GO:0030168,1,228,0.616868636,0.735844213
carbohydrate derivative catabolic process,Gene Ontology,GO:1901136,3,759,0.617628114,0.736102068
signaling receptor activity,Gene Ontology,GO:0038023,5,1273,0.617963274,0.736102068
cell cycle,Gene Ontology,GO:0007049,6,1527,0.618055263,0.736102068
"DNA-templated transcription, initiation",Gene Ontology,GO:0006352,1,229,0.618470491,0.736102068
cytoplasmic vesicle part,Gene Ontology,GO:0044433,2,499,0.619567831,0.736707079
regulation of nucleotide metabolic process,Gene Ontology,GO:0006140,2,499,0.619567831,0.736707079
glucose metabolic process,Gene Ontology,GO:0006006,1,231,0.62165414,0.737843249
"transferase activity, transferring acyl groups",Gene Ontology,GO:0016746,1,231,0.62165414,0.737843249
adaptive immune response,Gene Ontology,GO:0002250,1,231,0.62165414,0.737843249
ERBB signaling pathway,Gene Ontology,GO:0038127,1,231,0.62165414,0.737843249
G1/S transition of mitotic cell cycle,Gene Ontology,GO:0000082,1,232,0.62323599,0.739384515
Ras protein signal transduction,Gene Ontology,GO:0007265,1,233,0.624811227,0.740916539
establishment of localization in cell,Gene Ontology,GO:0051649,8,2046,0.62605881,0.741429245
nucleoside monophosphate metabolic process,Gene Ontology,GO:0009123,1,234,0.626379879,0.741429245
negative regulation of cell cycle process,Gene Ontology,GO:0010948,1,234,0.626379879,0.741429245
regulation of protein processing,Gene Ontology,GO:0070613,1,234,0.626379879,0.741429245
cellular response to stimulus,Gene Ontology,GO:0051716,22,5527,0.626739995,0.741519214
secretion by cell,Gene Ontology,GO:0032940,3,770,0.627207701,0.741736339
protein dimerization activity,Gene Ontology,GO:0046983,4,1031,0.628194237,0.742566557
cell projection membrane,Gene Ontology,GO:0031253,1,236,0.629497539,0.743097502
regulation of mitotic cell cycle phase transition,Gene Ontology,GO:1901990,1,236,0.629497539,0.743097502
signaling,Gene Ontology,GO:0023052,20,5046,0.630934571,0.744120755
single organism signaling,Gene Ontology,GO:0044700,20,5046,0.630934571,0.744120755
apical plasma membrane,Gene Ontology,GO:0016324,1,240,0.63565504,0.749011131
regulation of translation,Gene Ontology,GO:0006417,1,240,0.63565504,0.749011131
regulation of cell cycle phase transition,Gene Ontology,GO:1901987,1,241,0.637178362,0.750128788
immune response,Gene Ontology,GO:0006955,5,1306,0.640008322,0.752674535
development of primary sexual characteristics,Gene Ontology,GO:0045137,1,243,0.640205927,0.752674535
regulation of DNA metabolic process,Gene Ontology,GO:0051052,1,243,0.640205927,0.752674535
actin filament-based process,Gene Ontology,GO:0030029,2,519,0.640682545,0.752895741
transcription factor binding transcription factor activity,Gene Ontology,GO:0000989,2,521,0.642742334,0.754976369
regulation of vesicle-mediated transport,Gene Ontology,GO:0060627,1,247,0.646185488,0.758679318
protein binding transcription factor activity,Gene Ontology,GO:0000988,2,525,0.646833868,0.759099098
intrinsic apoptotic signaling pathway,Gene Ontology,GO:0097193,1,248,0.647664788,0.759732628
response to metal ion,Gene Ontology,GO:0010038,1,249,0.649137904,0.760776798
cell projection assembly,Gene Ontology,GO:0030031,1,249,0.649137904,0.760776798
lipid catabolic process,Gene Ontology,GO:0016042,1,250,0.650604862,0.76215381
nucleoside metabolic process,Gene Ontology,GO:0009116,3,799,0.65166067,0.762998654
organelle localization,Gene Ontology,GO:0051640,1,253,0.654969042,0.765548231
actin filament organization,Gene Ontology,GO:0007015,1,253,0.654969042,0.765548231
cell communication,Gene Ontology,GO:0007154,20,5120,0.655695937,0.766054787
regulation of actin filament-based process,Gene Ontology,GO:0032970,1,258,0.662121895,0.772870369
catabolic process,Gene Ontology,GO:0009056,9,2376,0.664443211,0.774194991
plasma membrane part,Gene Ontology,GO:0044459,8,2122,0.665388447,0.7749504
gamete generation,Gene Ontology,GO:0007276,2,544,0.665761154,0.775038631
glycosyl compound metabolic process,Gene Ontology,GO:1901657,3,818,0.667047087,0.776189433
innate immune response,Gene Ontology,GO:0045087,3,819,0.667842956,0.776769213
neurological system process,Gene Ontology,GO:0050877,3,821,0.66943051,0.777922365
carbohydrate derivative binding,Gene Ontology,GO:0097367,8,2131,0.669877502,0.778095363
hexose metabolic process,Gene Ontology,GO:0019318,1,264,0.67050988,0.778137299
intracellular receptor signaling pathway,Gene Ontology,GO:0030522,1,264,0.67050988,0.778137299
negative regulation of signal transduction,Gene Ontology,GO:0009968,3,827,0.674159722,0.782025277
coated vesicle,Gene Ontology,GO:0030135,1,268,0.675985878,0.783099486
embryonic organ morphogenesis,Gene Ontology,GO:0048562,1,268,0.675985878,0.783099486
regulation of transcription from RNA polymerase II promoter,Gene Ontology,GO:0006357,5,1367,0.678612313,0.785793317
protein domain specific binding,Gene Ontology,GO:0019904,2,562,0.682927863,0.790439789
"peptidase activity, acting on L-amino acid peptides",Gene Ontology,GO:0070011,2,564,0.684789945,0.79194126
"ATPase activity, coupled",Gene Ontology,GO:0042623,1,276,0.6866664,0.79371094
sequence-specific DNA binding RNA polymerase II transcription factor activity,Gene Ontology,GO:0000981,1,278,0.689281068,0.796119412
lipid biosynthetic process,Gene Ontology,GO:0008610,2,570,0.690322307,0.796119412
protein ubiquitination,Gene Ontology,GO:0016567,2,570,0.690322307,0.796119412
transcription coactivator activity,Gene Ontology,GO:0003713,1,279,0.690580211,0.796119412
neurotrophin TRK receptor signaling pathway,Gene Ontology,GO:0048011,1,279,0.690580211,0.796119412
steroid metabolic process,Gene Ontology,GO:0008202,1,279,0.690580211,0.796119412
response to oxidative stress,Gene Ontology,GO:0006979,1,280,0.691873922,0.796906856
intracellular transport,Gene Ontology,GO:0046907,5,1391,0.693016694,0.797519211
neurotrophin signaling pathway,Gene Ontology,GO:0038179,1,282,0.694445141,0.79881085
transmembrane receptor protein serine/threonine kinase signaling pathway,Gene Ontology,GO:0007178,1,284,0.696994908,0.800841248
purine ribonucleotide metabolic process,Gene Ontology,GO:0009150,3,861,0.700013208,0.803445238
reproductive structure development,Gene Ontology,GO:0048608,1,287,0.700779726,0.803971466
reproductive system development,Gene Ontology,GO:0061458,1,289,0.70327664,0.80648156
negative regulation of signaling,Gene Ontology,GO:0023057,3,867,0.704409499,0.807194945
positive regulation of organelle organization,Gene Ontology,GO:0010638,1,290,0.704517274,0.807194945
negative regulation of cell communication,Gene Ontology,GO:0010648,3,870,0.706589066,0.808544062
poly(A) RNA binding,Gene Ontology,GO:0044822,4,1146,0.707563487,0.809264111
peptidase activity,Gene Ontology,GO:0008233,2,591,0.70905638,0.810616361
side of membrane,Gene Ontology,GO:0098552,1,294,0.709428161,0.810686296
cellular lipid metabolic process,Gene Ontology,GO:0044255,3,876,0.710911133,0.812025408
ribonucleotide metabolic process,Gene Ontology,GO:0009259,3,877,0.711626681,0.812487156
regulation of homeostatic process,Gene Ontology,GO:0032844,1,297,0.713057698,0.81340935
monosaccharide metabolic process,Gene Ontology,GO:0005996,1,297,0.713057698,0.81340935
ribose phosphate metabolic process,Gene Ontology,GO:0019693,3,882,0.715183911,0.814716477
carboxylic acid biosynthetic process,Gene Ontology,GO:0046394,1,299,0.715452171,0.814716477
organic acid biosynthetic process,Gene Ontology,GO:0016053,1,299,0.715452171,0.814716477
regulation of membrane potential,Gene Ontology,GO:0042391,1,299,0.715452171,0.814716477
ossification,Gene Ontology,GO:0001503,1,300,0.716641905,0.815715382
"negative regulation of transcription, DNA-templated",Gene Ontology,GO:0045892,3,893,0.722889894,0.821752013
exocytosis,Gene Ontology,GO:0006887,1,306,0.723676585,0.822288153
protein-DNA complex,Gene Ontology,GO:0032993,1,308,0.725982459,0.824549268
protein modification by small protein conjugation,Gene Ontology,GO:0032446,2,613,0.727654917,0.826089314
neuronal cell body,Gene Ontology,GO:0043025,1,311,0.729405245,0.827356666
apical part of cell,Gene Ontology,GO:0045177,1,312,0.730536648,0.828280039
carboxylic acid metabolic process,Gene Ontology,GO:0019752,3,906,0.731785708,0.829335952
negative regulation of catalytic activity,Gene Ontology,GO:0043086,2,621,0.73416354,0.831669635
regulation of cytoskeleton organization,Gene Ontology,GO:0051493,1,316,0.735015157,0.832273128
negative regulation of RNA biosynthetic process,Gene Ontology,GO:1902679,3,913,0.736481664,0.833572048
purine nucleotide metabolic process,Gene Ontology,GO:0006163,3,914,0.737147167,0.833691928
histone modification,Gene Ontology,GO:0016570,1,318,0.737226425,0.833691928
Wnt signaling pathway,Gene Ontology,GO:0016055,1,321,0.740508782,0.837041109
covalent chromatin modification,Gene Ontology,GO:0016569,1,324,0.743750144,0.840341072
immune response-regulating cell surface receptor signaling pathway,Gene Ontology,GO:0002768,1,325,0.744821577,0.841139708
regulation of apoptotic signaling pathway,Gene Ontology,GO:2001233,1,327,0.746951024,0.842697419
transferase activity,Gene Ontology,GO:0016740,6,1762,0.747127137,0.842697419
cellular localization,Gene Ontology,GO:0051641,8,2305,0.749235278,0.844208295
enzyme binding,Gene Ontology,GO:0019899,4,1216,0.749437019,0.844208295
macromolecule localization,Gene Ontology,GO:0033036,7,2042,0.75147425,0.845773089
regulation of gene expression,Gene Ontology,GO:0010468,13,3635,0.753405212,0.847580863
purine ribonucleoside triphosphate binding,Gene Ontology,GO:0035639,6,1780,0.755559879,0.84963864
plasma membrane,Gene Ontology,GO:0005886,16,4424,0.756196516,0.849756441
muscle organ development,Gene Ontology,GO:0007517,1,336,0.75631579,0.849756441
negative regulation of cell cycle,Gene Ontology,GO:0045786,1,338,0.758349332,0.851328526
negative regulation of RNA metabolic process,Gene Ontology,GO:0051253,3,947,0.758367365,0.851328526
purine ribonucleoside binding,Gene Ontology,GO:0032550,6,1788,0.759240991,0.851942814
purine nucleoside binding,Gene Ontology,GO:0001883,6,1791,0.76061084,0.853113147
ribonucleoside binding,Gene Ontology,GO:0032549,6,1792,0.761066177,0.853257183
purine-containing compound metabolic process,Gene Ontology,GO:0072521,3,953,0.762072856,0.854018959
cellular component assembly,Gene Ontology,GO:0022607,6,1797,0.763333273,0.85506431
protein metabolic process,Gene Ontology,GO:0019538,15,4191,0.764192539,0.855176975
homeostatic process,Gene Ontology,GO:0042592,4,1243,0.764304733,0.855176975
response to other organism,Gene Ontology,GO:0051707,2,661,0.764744467,0.855176975
response to external biotic stimulus,Gene Ontology,GO:0043207,2,661,0.764744467,0.855176975
nucleoside binding,Gene Ontology,GO:0001882,6,1802,0.765584408,0.855749595
endosome membrane,Gene Ontology,GO:0010008,1,346,0.766315237,0.856199815
immune response-activating signal transduction,Gene Ontology,GO:0002757,1,347,0.767292334,0.856200383
signal release,Gene Ontology,GO:0023061,1,347,0.767292334,0.856200383
endoplasmic reticulum part,Gene Ontology,GO:0044432,3,962,0.767544378,0.856200383
regulation of organelle organization,Gene Ontology,GO:0033043,2,665,0.767627929,0.856200383
chromatin,Gene Ontology,GO:0000785,1,348,0.768265346,0.856545302
cell body,Gene Ontology,GO:0044297,1,352,0.772116885,0.859737658
ATPase activity,Gene Ontology,GO:0016887,1,352,0.772116885,0.859737658
purine ribonucleotide binding,Gene Ontology,GO:0032555,6,1818,0.772681095,0.859999002
regulation of system process,Gene Ontology,GO:0044057,1,354,0.774018586,0.861070531
endosomal part,Gene Ontology,GO:0044440,1,355,0.774963478,0.861070531
alcohol metabolic process,Gene Ontology,GO:0006066,1,355,0.774963478,0.861070531
transcription from RNA polymerase II promoter,Gene Ontology,GO:0006366,5,1548,0.776163396,0.862036792
organic substance transport,Gene Ontology,GO:0071702,7,2105,0.777937802,0.863528286
sexual reproduction,Gene Ontology,GO:0019953,2,680,0.778168019,0.863528286
response to inorganic substance,Gene Ontology,GO:0010035,1,359,0.778703707,0.863755493
ribonucleotide binding,Gene Ontology,GO:0032553,6,1834,0.779615583,0.864399605
purine nucleotide binding,Gene Ontology,GO:0017076,6,1838,0.781323988,0.865849851
cellular response to DNA damage stimulus,Gene Ontology,GO:0006974,2,685,0.781587068,0.865849851
protein modification by small protein conjugation or removal,Gene Ontology,GO:0070647,2,686,0.782265295,0.866233526
cell periphery,Gene Ontology,GO:0071944,16,4520,0.783641945,0.867389939
negative regulation of multicellular organismal process,Gene Ontology,GO:0051241,1,365,0.784197833,0.867637281
Golgi apparatus part,Gene Ontology,GO:0044431,2,690,0.784959715,0.867744538
response to biotic stimulus,Gene Ontology,GO:0009607,2,690,0.784959715,0.867744538
synaptic transmission,Gene Ontology,GO:0007268,2,693,0.786961218,0.869588814
nucleobase-containing compound catabolic process,Gene Ontology,GO:0034655,3,997,0.787851405,0.869835942
chromatin binding,Gene Ontology,GO:0003682,1,370,0.788671945,0.87037369
defense response to other organism,Gene Ontology,GO:0098542,1,372,0.790435513,0.871951263
actin binding,Gene Ontology,GO:0003779,1,373,0.791311771,0.872549101
positive regulation of apoptotic process,Gene Ontology,GO:0043065,1,374,0.792184365,0.872781093
"regulation of transcription, DNA-templated",Gene Ontology,GO:0006355,10,2958,0.792190961,0.872781093
negative regulation of cellular macromolecule biosynthetic process,Gene Ontology,GO:2000113,3,1006,0.792828671,0.872785226
cellular protein metabolic process,Gene Ontology,GO:0044267,12,3496,0.792863514,0.872785226
protein oligomerization,Gene Ontology,GO:0051259,1,378,0.795638414,0.875470599
proteolysis,Gene Ontology,GO:0006508,3,1014,0.797170741,0.87623893
centrosome,Gene Ontology,GO:0005813,1,380,0.797343854,0.87623893
positive regulation of programmed cell death,Gene Ontology,GO:0043068,1,380,0.797343854,0.87623893
oxoacid metabolic process,Gene Ontology,GO:0043436,3,1019,0.799845645,0.877843459
synapse part,Gene Ontology,GO:0044456,1,383,0.799875369,0.877843459
molecular transducer activity,Gene Ontology,GO:0060089,5,1608,0.802961334,0.88018861
signal transducer activity,Gene Ontology,GO:0004871,5,1608,0.802961334,0.88018861
response to drug,Gene Ontology,GO:0042493,1,388,0.804024493,0.88065068
regulation of RNA biosynthetic process,Gene Ontology,GO:2001141,10,2996,0.804395104,0.88065068
organic acid metabolic process,Gene Ontology,GO:0006082,3,1036,0.808719587,0.884642968
single-organism cellular localization,Gene Ontology,GO:1902580,1,396,0.810484933,0.885831522
single-organism localization,Gene Ontology,GO:1902578,1,396,0.810484933,0.885831522
"transcription, DNA-templated",Gene Ontology,GO:0006351,11,3288,0.810880499,0.885892885
cellular nitrogen compound catabolic process,Gene Ontology,GO:0044270,3,1041,0.811265465,0.885942621
heterocycle catabolic process,Gene Ontology,GO:0046700,3,1042,0.811771183,0.886124126
aromatic compound catabolic process,Gene Ontology,GO:0019439,3,1043,0.812275751,0.886304227
negative regulation of nucleobase-containing compound metabolic process,Gene Ontology,GO:0045934,3,1044,0.812779173,0.886482925
activation of immune response,Gene Ontology,GO:0002253,1,400,0.813634856,0.88704552
positive regulation of cell death,Gene Ontology,GO:0010942,1,402,0.815190133,0.88837004
negative regulation of macromolecule biosynthetic process,Gene Ontology,GO:0010558,3,1056,0.81873137,0.891856792
